No.,カテゴリ,確認項目,操作手順,期待結果,参考値,合否,実施日,備考
1,ダメージ表示,計算内訳ログが出る,剣兵で敵斧兵を攻撃する,Consoleに「力6＋威力5＋相性+2 −(守備2＋地形0) = 11」のような内訳が出る,剣→斧 11,,,
2,弓の射程,移動後は2マスちょうど,弓兵を移動させてから攻撃対象を見る,隣接の敵は攻撃不可。2マスちょうどの敵だけ赤表示,,,,
3,弓の射程,静止時は2〜3マス,弓兵で自分のマスをクリック（静止）する,2〜3マスの敵が赤表示される,弓の上限3,,,
4,武装無し扱い,後衛が前衛から被弾で不利,敵の斧兵・槍兵で味方弓兵か魔道士を攻撃する,相性+2付きのダメージになる,斧→弓兵 10,,,
5,三すくみなし,後衛の攻撃は相性補正なし,味方弓兵・魔道士で敵を攻撃する,攻撃側の三すくみ補正が付かない（内訳に相性が出ない）,,,,
6,挟撃,挟撃が成立する,"孤立した敵槍兵(2,7)を味方2体で上下(または左右)から挟んで攻撃",「挟撃！」ログが出て、反対側の味方も追撃する,,,,
7,ガード（無効化）,前衛歩兵が挟撃を無効化,"隣り合った敵斧兵(6,7)(7,7)の片方を挟撃しようとする",「ガード！」ログが出て、追撃が入らない,,,,
8,魔法計算,魔力vs魔防で計算,味方魔道士で敵斧兵を攻撃する,「魔力6＋威力5 −(魔防0＋地形0) = 11」で計算される,魔道士→斧兵 11,,,
9,敵AI,敵弓兵の静止射撃,敵フェイズを迎える（敵弓兵の間合いに味方を置く）,敵弓兵が離れた位置から撃ってくる,,,,
10,敵AI,敵弓兵の退き撃ち,敵弓兵にこちらから隣接する→敵フェイズを見る,その場では攻撃せず、2マス離れた位置へ移動して撃つ,,,,
11,回帰確認,従来の戦闘が壊れていない,剣兵で敵斧兵、槍兵で敵剣兵など基本戦闘を試す,剣→斧11・剣→槍7・槍→剣9 など想定どおり,剣→槍 7 / 槍→剣 9,,,
